ï»?Statement","Header","Field Name","Field Value",,,,,,,,,,,,,
"Statement","Data","BrokerName","Interactive Brokers Hong Kong Limited",,,,,,,,,,,,,
"Statement","Data","BrokerAddress","Suite 1512, Two Pacific Place, 88 Queensway, Admiralty, Hong Kong",,,,,,,,,,,,,
"Statement","Data","Title","Activity Statement",,,,,,,,,,,,,
"Statement","Data","Period","September 22, 2025",,,,,,,,,,,,,
"Statement","Data","WhenGenerated","2025-09-24, 20:26:08 EDT",,,,,,,,,,,,,
"Net Asset Value","Header","Asset Class","Prior Total","Current Long","Current Short","Current Total","Change",,,,,,,,,
"Codes","Data","Pr","Part or all of this transaction was executed by the Exchange as a Crossing by IB against an IB affiliate and is therefore classified as a Principal and not an agency trade",,,,,,,,,,,,,
"Codes","Data","R","Dividend Reinvestment",,,,,,,,,,,,,
"Codes","Data","RED","Redemption to Investor",,,,,,,,,,,,,
"Codes","Data","RI","Recurring Investment",,,,,,,,,,,,,
"Codes","Data","RP","IB acted as agent for the fractional share portion of this trade, which was executed by an IB affiliate as riskless principal.",,,,,,,,,,,,,
"Codes","Data","RPA","IB acted as agent for both the fractional share portion and the whole share portion of this trade; the fractional share portion was executed by an IB Affiliate as riskless principal.",,,,,,,,,,,,,
"Codes","Data","Rb","Rebill",,,,,,,,,,,,,
"Codes","Data","Re","Interest or Dividend Accrual Reversal",,,,,,,,,,,,,
"Codes","Data","Ri","Reimbursement",,,,,,,,,,,,,
"Codes","Data","S0","Contract settled to zero value",,,,,,,,,,,,,
"Codes","Data","S1","Contract settled to $1.00",,,,,,,,,,,,,
"Codes","Data","SF","Trade is subject to IBKR Lite Surcharge Fee if volume of such trades exceeds 10% of the total monthly Lite trade volume",,,,,,,,,,,,,
"Codes","Data","SI","This order was solicited by Interactive Brokers",,,,,,,,,,,,,
"Codes","Data","SL","Specific Lot tax basis election",,,,,,,,,,,,,
"Codes","Data","SO","This order was marked as solicited by your Introducing Broker",,,,,,,,,,,,,
"Codes","Data","SS","Customer designated this trade for shortened settlement and so is subject to execution at prices above the prevailing market",,,,,,,,,,,,,
"Codes","Data","ST","Short Term P/L",,,,,,,,,,,,,
"Codes","Data","T","Transfer",,,,,,,,,,,,,
"Codes","Data","Un","Unvested shares from stock grant",,,,,,,,,,,,,
"Codes","Data","XCH","Mutual Fund Exchange Transaction",,,,,,,,,,,,,
"Notes/Legal Notes","Header","Type","Note",,,,,,,,,,,,,
"Notes/Legal Notes","Data","Notes","Stock exchange transactions generally settle on the trade date plus one business or two business days (T+1 or T+2). Options, futures and US open-end mutual fund transactions also settle on trade date plus one business day. Some exchanges and other transaction types may have longer or shorter settlement periods. Ending settled cash reflects the cash that has actually settled.",,,,,,,,,,,,,
"Notes/Legal Notes","Data","Notes","Initial and maintenance margin requirements are available within the Account Window of the Trader Workstation or the Margin Report available in Account Management.",,,,,,,,,,,,,
"Notes/Legal Notes","Data","Notes","Quantities preceded by a ""-"" sign indicate sell transactions. Other transactions are purchases. ",,,,,,,,,,,,,
"Notes/Legal Notes","Data","Notes","IB acts as agent in executing the fractional share portion of your order. In certain circumstances, IB routes the fractional portion of your order to an affiliate, which may execute the fractional portion of the order as principal. In such circumstances, this is indicated by the codes associated with the trade. If an IB affiliate acts as principal in executing any fractional share portion of your order, the order will be executed at the price displayed for the opposite side of the NBBO from your order (the offer if you are buying and the bid if you are selling) at the time of execution. If an IB affiliate is acting as riskless principal in connection with filling the fractional share portion of your order, the affiliate will execute the fractional share portion of your order at the price it receives for the execution of the whole share.",,,,,,,,,,,,,
"Notes/Legal Notes","Data","Notes","In case of partial executions, commissions are charged on the total quantity executed on the original order. The commission is displayed on the first partial execution only.",,,,,,,,,,,,,
"Notes/Legal Notes","Data","Notes","Trade execution times are displayed in United States Eastern Time.",,,,,,,,,,,,,
"Notes/Legal Notes","Data","Notes","Borrow Fee Rate represents the cost to borrow stock expressed in percent per annum. It is applied to the collateral value on the stock borrow contract and is separate from any interest earned on credit cash balances. Similarly, Loan Fee Rate represents the benefit to lend stock. A positive rate indicates a cost to the borrower/benefit to the lender and a negative rate indicates a benefit to the borrower/cost to the lender. In general, the fee rates for hard-to-borrow stocks are higher than for normal availability stocks.",,,,,,,,,,,,,
"Notes/Legal Notes","Data","Notes","Interest Rate on Customer Collateral represents the interest paid on the collateral posted to the customer's account and received from lending stock.  A positive rate indicates a benefit to the lender.",,,,,,,,,,,,,
"Notes/Legal Notes","Data","Notes","The closing prices on this Activity Statement are indicative and may come from third-party sources. Interactive Brokers does not warrant the accuracy of the prices provided by third-party sources. Due to time zone differences, certain non-US mutual funds may deliver closing prices after the Activity Statement has been produced and the closing prices for such funds will reflect the previous day's price.",,,,,,,,,,,,,
"Notes/Legal Notes","Data","Notes","All Market Data and Research services are provided through Global Financial Information Services (GmbH).",,,,,,,,,,,,,
"Notes/Legal Notes","Data","Notes","Market data is provided by Global Financial Information Services (GmbH). Your local broker collects amounts owed for fees and tax for such data on behalf of Global Financial Information Services (GmbH). Note, you are responsible for any applicable taxes relating to the provision of these services.",,,,,,,,,,,,,
"Notes/Legal Notes","Data","Notes","RUS denotes Ruble balances that have been restricted by Russian authorities.",,,,,,,,,,,,,
"Notes/Legal Notes","Data","Mutual Fund Notes","All purchase and sales of mutual funds are calculated against the published NAV (Net Asset Value) of the underlying fund and is displayed on this confirmation as the ""C. Price"" (Closing Price). Due to any fees charged by a fund and/or any share rounding, the net price you pay may vary from the published NAV and is shown on this confirmation as the ""T. Price"" (Trade Price).",,,,,,,,,,,,,
"Notes/Legal Notes","Data","Fixed Income Notes","Call features for bonds or preferred stocks may affect the yield. For zero coupon, compound interest and multiplier securities, there are no periodic payments and securities may be callable below maturity value without notice to holder unless registered. For asset-backed securities, the actual yield may vary depending on the speed at which the underlying note is pre-paid. For additional information regarding bond yield, please contact the IB Help Desk at: ibkr.com/help. If this debt security is unrated by a nationally recognized statistical rating organization, it may pose a high risk of default. You should consult an independent advisor to determine whether unrated bonds are appropriate for your portfolio in light of your goals and your financial circumstances. Fees charged by bond trading centers are included in the cost of bond transactions.",,,,,,,,,,,,,
"Notes/Legal Notes","Data","Legal Notes","Please promptly report any inaccuracy or discrepancy in this statement, or in your account. Contact the IB Customer Service Department in writing using the form available on the IB website. You may also contact IB by phone, but if you report an error by phone, you should re-confirm such oral communication in writing in order to protect your rights.Interactive Brokers Singapore Pte. Ltd., www.interactivebrokers.com.sg, +65 6923 5600 (S.G.)Interactive Brokers Hong Kong Ltd, www.interactivebrokers.com.hk, +852 2156 7907 (H.K.)Interactive Brokers LLC, www.interactivebrokers.com, 877-442-2757 (U.S.)Interactive Brokers (UK) (Ltd), www.interactivebrokers.co.uk, 00800-42-276537 (Intl)Interactive Brokers Canada Inc., www.interactivebrokers.ca, 877-745-4222 (Can.)",,,,,,,,,,,,,
"Notes/Legal Notes","Data","Legal Notes","Interactive Brokers Hong Kong Ltd is located at Suite 1512, Two Pacific Place, 88 Queensway, Admiralty, Hong Kong.",,,,,,,,,,,,,
"Notes/Legal Notes","Data","Legal Notes","Unless otherwise noted, Interactive Brokers acted as agent in the execution of the above transactions. For those exchanges where IB is not a direct clearing member or custodian, IB may use one of the following clearing agents or sub-custodians: Interactive Brokers LLC and Interactive Brokers (U.K.) Limited.",,,,,,,,,,,,,
"Notes/Legal Notes","Data","Legal Notes","IB acts as agent or riskless principal in foreign currency exchange transactions.  Such transactions are executed against an IB affiliate or a third party, which acts as principal in such transactions and may have a long or short position and may have profited or lost in connection with the transaction.  Foreign currency exchange transactions executed by Customer through IB are not regulated or overseen by the SFC.",,,,,,,,,,,,,
"Notes/Legal Notes","Data","Legal Notes","IB accepts liquidity rebates or other order flow payments from Alternative Trading Systems, market makers and exchanges for certain orders in stocks. IB receives payment for some option orders pursuant to exchange-mandated marketing fee programs or other arrangements. The source and nature of any compensation received by IB in connection with any transaction is available upon written request of the customer. For further information, check the IB website and the Order Routing and Payment for Order Flow Disclosure provided when you opened your account and annually or visit ibkr.com/help.  ",,,,,,,,,,,,,
"Notes/Legal Notes","Data","Legal Notes","For security futures trades, if not already indicated on this statement, information about the time of any transaction, the identity of the counterparty to the transaction, and whether IB is acting as agent or principal, as agent for the counterparty, as agent for both parties to the contract, or as principal, and if acting as principal, whether the transaction was a block transaction or an exchange for physicals transaction, will be available upon written request of the customer.",,,,,,,,,,,,,
"Notes/Legal Notes","Data","Legal Notes","Customer is requested to promptly advise Interactive Brokers of any material change in Customer's investment objectives.",,,,,,,,,,,,,
"Notes/Legal Notes","Data","Legal Notes","For trades executed on the ASX market, the ASX 24 market and the Cboe Australia market, this confirmation is issued subject to: (i) the Applicable Laws, the directions, decisions and requirements of the relevant market operator, the operating rules of the relevant market, the clearing rules and where relevant, the relevant settlement rules, (ii) the customs and usages of the relevant financial market, and (iii) the correction of errors and omissions. Trades in Cash Market Products (as that term is defined in the relevant ASIC market integrity rules) on ASX market and Cboe Australia are cleared by BNP Paribas, ARBN 149 440 291, AFSL 402467, who is a participant of ASX Clear Pty Ltd and ASX Settlement Pty Ltd. Trades in Derivative Products on ASX and all products on ASX 24 are cleared by Interactive Brokers Australia (?œIBA?? as a participant of ASX Clear Pty Ltd and ASX Clear (Futures) Pty Ltd. If your transaction was a crossing transaction, IBA may have either acted on behalf of (i) both the buyer and seller of this transaction, or (ii) on behalf of the buyer or seller on one side of the transaction and acted as Principal on the other side. Under the Corporations Act 2001, where IBA enters into an exchange traded derivative on a customer's behalf, IBA is regarded as having issued the derivative to the customer.",,,,,,,,,,,,,
"Notes/Legal Notes","Data","Legal Notes","For All Options Trades Executed on the Stock Exchange of Hong Kong (""SEHK""): (a) Options can involve a high degree of risk and may not be suitable for every investor. Investors should ensure they understand those risks before participating in the options market. (b) All options contracts executed on the SEHK were executed by Interactive Brokers Hong Kong Limited. (c) In the event of a default committed by Interactive Brokers resulting in the client suffering any pecuniary loss, the client shall have a right to claim under the Investor Compensation Fund established under the Hong Kong Securities and Futures Ordinance, subject to the terms of the Investor Compensation Fund from time to time. (d) All Exchange Traded Options Business made for or on behalf of a client shall be subject to the relevant provisions of the constitution, Rules of The Stock Exchange of Hong Kong Limited (""SEHK Rules""), regulations, the Articles, customs and usages of SEHK, the Options Trading Rules, the Clearing Rules of SEOCH, the CCASS Rules and the laws of Hong Kong, which shall be binding on both Interactive Brokers and the client.",,,,,,,,,,,,,
